source,split,domain,label,support,precision,recall,f1
canonical,train,print,_background_,240,0.4438040345821326,0.6416666666666667,0.524701873935264
canonical,train,print,stop,240,0.8155737704918032,0.8291666666666667,0.8223140495867768
canonical,train,print,speed_limit,240,0.6338797814207651,0.48333333333333334,0.5484633569739953
canonical,train,print,warning,240,0.5564516129032258,0.2875,0.37912087912087905
canonical,train,print,other_reg,240,0.5496688741721855,0.6916666666666667,0.6125461254612545
canonical,train,screen,_background_,240,0.46839080459770116,0.6791666666666667,0.554421768707483
canonical,train,screen,stop,240,0.836,0.8708333333333333,0.8530612244897958
canonical,train,screen,speed_limit,240,0.6223404255319149,0.4875,0.5467289719626167
canonical,train,screen,warning,240,0.5671641791044776,0.31666666666666665,0.4064171122994652
canonical,train,screen,other_reg,240,0.6071428571428571,0.7083333333333334,0.6538461538461539
canonical,val,print,_background_,60,0.463768115942029,0.5333333333333333,0.49612403100775193
canonical,val,print,stop,60,0.7777777777777778,0.9333333333333333,0.8484848484848485
canonical,val,print,speed_limit,60,0.5660377358490566,0.5,0.5309734513274337
canonical,val,print,warning,60,0.5925925925925926,0.26666666666666666,0.36781609195402304
canonical,val,print,other_reg,60,0.5443037974683544,0.7166666666666667,0.6187050359712231
canonical,val,screen,_background_,60,0.4,0.6,0.48
canonical,val,screen,stop,60,0.9166666666666666,0.9166666666666666,0.9166666666666666
canonical,val,screen,speed_limit,60,0.5689655172413793,0.55,0.5593220338983051
canonical,val,screen,warning,60,0.5,0.21666666666666667,0.3023255813953488
canonical,val,screen,other_reg,60,0.6060606060606061,0.6666666666666666,0.6349206349206349
canonical,test,print,_background_,60,0.4175824175824176,0.6333333333333333,0.5033112582781457
canonical,test,print,stop,60,0.5769230769230769,0.5,0.5357142857142857
canonical,test,print,speed_limit,60,0.631578947368421,0.4,0.4897959183673469
canonical,test,print,warning,60,0.5897435897435898,0.38333333333333336,0.46464646464646464
canonical,test,print,other_reg,60,0.55,0.7333333333333333,0.6285714285714286
canonical,test,screen,_background_,60,0.34951456310679613,0.6,0.441717791411043
canonical,test,screen,stop,60,0.7659574468085106,0.6,0.6728971962616823
canonical,test,screen,speed_limit,60,0.5476190476190477,0.38333333333333336,0.4509803921568628
canonical,test,screen,warning,60,0.7272727272727273,0.4,0.5161290322580645
canonical,test,screen,other_reg,60,0.64,0.8,0.7111111111111111
strict_test,test,print,_background_,60,0.3136094674556213,0.8833333333333333,0.46288209606986896
strict_test,test,print,stop,60,0.6756756756756757,0.4166666666666667,0.5154639175257731
strict_test,test,print,speed_limit,60,0.8125,0.21666666666666667,0.34210526315789475
strict_test,test,print,warning,60,0.625,0.16666666666666666,0.2631578947368421
strict_test,test,print,other_reg,60,0.7096774193548387,0.7333333333333333,0.7213114754098361
strict_test,test,screen,_background_,60,0.3006134969325153,0.8166666666666667,0.4394618834080717
strict_test,test,screen,stop,60,0.9032258064516129,0.4666666666666667,0.6153846153846154
strict_test,test,screen,speed_limit,60,0.6923076923076923,0.3,0.41860465116279066
strict_test,test,screen,warning,60,0.6666666666666666,0.16666666666666666,0.26666666666666666
strict_test,test,screen,other_reg,60,0.7384615384615385,0.8,0.768
